,jobClassification,state,teaser,workType,salary_string,isRightToWorkRequired,desktopAdTemplate,Python,SQL,R,Tableau,SAS,Matlab,Hadoop,Spark,Java,Scala,recruiter,workType_encoded,jobClassification_encoded,state_encoded
1023,3.0,6,"['provid', 'solut', 'base', 'expert', 'analysi', 'data', 'prepar', 'meaning', 'report', 'support', 'student', 'outcom']",2,"(77999.0, 84155.0)",0,"['data', 'scientist', 'data', 'scientist', 'full', 'time', 'fix', 'term', 'month', 'view', 'go', 'perm', 'right', 'candid', 'per', 'annum', 'plu', 'superannu', 'base', 'melbourn', 'bundoora', 'campu', 'role', 'scientist', 'provid', 'support', 'senior', 'coordin', 'perform', 'analyt', 'engag', 'busi', 'understand', 'context', 'busi', 'case', 'chang', 'improv', 'work', 'across', 'busi', 'function', 'scientist', 'develop', 'implement', 'data', 'analyt', 'project', 'solut', 'suit', 'differ', 'client', 'requir', 'defin', 'outcom', 'benefit', 'elicit', 'document', 'busi', 'requir', 'support', 'translat', 'requir', 'solut', 'design', 'test', 'accept', 'deliv', 'solut', 'provid', 'solut', 'base', 'extract', 'expert', 'analysi', 'data', 'prepar', 'meaning', 'report', 'meet', 'intern', 'extern', 'user', 'requir', 'creat', 'perform', 'indic', 'consist', 'univers', 'strateg', 'oper', 'plan', 'proactiv', 'collabor', 'passion', 'data', 'scienc', 'thirst', 'soak', 'anyth', 'may', 'know', 'happi', 'provid', 'sit', 'middl', 'tech', 'wizard', 'consult', 'guru', 'proactiv', 'engag', 'busi', 'stakehold', 'client', 'understand', 'need', 'inform', 'report', 'solut', 'design', 'interpret', 'request', 'extract', 'data', 'utilis', 'specialist', 'softwar', 'packag', 'api', 'spss', 'busi', 'object', 'googl', 'api', 'analys', 'data', 'transform', 'result', 'meaning', 'report', 'intern', 'extern', 'client', 'univers', 'particip', 'multifunct', 'project', 'team', 'document', 'busi', 'requir', 'strateg', 'report', 'design', 'build', 'test', 'solut', 'agre', 'timelin', 'budget', 'createextract', 'statist', 'tabl', 'report', 'analysi', 'relat', 'staff', 'student', 'statist', 'perform', 'indic', 'consist', 'monitor', 'univers', 'strateg', 'oper', 'plan', 'undertak', 'data', 'collect', 'assess', 'verif', 'valid', 'work', 'support', 'univers', 'statutori', 'report', 'oblig', 'prepar', 'analys', 'data', 'support', 'rang', 'standard', 'occasion', 'institut', 'research', 'project', 'identifi', 'addit', 'servic', 'requir', 'servic', 'shortfal', 'design', 'deliveri', 'innov', 'solut', 'maximis', 'servic', 'qualiti', 'effici', 'continu', 'work', 'collabor', 'member', 'perform', 'analyt', 'group', 'provid', 'cross', 'function', 'team', 'support', 'includ', 'appropri', 'data', 'analysi', 'support', 'requir', 'group', 'within', 'pipu', 'plan', 'govern', 'divis', 'colleg', 'plan', 'govern', 'team', 'contribut', 'continu', 'improv', 'provid', 'construct', 'feedback', 'process', 'system', 'work', 'practic', 'employ', 'review', 'enhanc', 'work', 'procedur', 'skill', 'experi', 'success', 'degre', 'subsequ', 'relev', 'experi', 'minimum', 'year', 'equival', 'altern', 'combin', 'relev', 'knowledg', 'train', 'andor', 'experi', 'experi', 'model', 'simul', 'build', 'analysi', 'program', 'use', 'program', 'languag', 'java', 'python', 'c', 'scala', 'flexibl', 'use', 'experi', 'develop', 'implement', 'statist', 'model', 'techniqu', 'demonstr', 'strong', 'experi', 'specialist', 'statist', 'packag', 'databas', 'system', 'includ', 'spss', 'access', 'excel', 'demonstr', 'work', 'knowledg', 'abil', 'use', 'technolog', 'integr', 'system', 'extract', 'analys', 'data', 'includ', 'present', 'easili', 'understood', 'form', 'strong', 'problemsolv', 'skill', 'demonstr', 'abil', 'show', 'initi', 'strong', 'interperson', 'commun', 'report', 'write', 'skill', 'attent', 'detail', 'accuraci', 'abil', 'meet', 'deadlin', 'excel', 'interperson', 'written', 'oral', 'commun', 'skill', 'enabl', 'effect', 'commun', 'data', 'user', 'client', 'includ', 'good', 'present', 'interperson', 'skill', 'knowledg', 'australian', 'higher', 'educ', 'system', 'benefit', 'pleas', 'click', 'link', 'full', 'list', 'benefit', 'httpwwwlatrobeeduaujobsworkingbenefit', 'appli', 'close', 'date', 'th', 'octob', 'posit', 'enquir', 'contact', 'alic', 'zhao', 'senior', 'perform', 'analyt', 'coordin', 'azhaolatrobeeduau', 'hrrecruit', 'enquiri', 'lloyd', 'hall', 'tower', 'lhalltowerslatrobeeduauposit', 'descript', 'analyst', 'heodocx', 'posit', 'open', 'peopl', 'valid', 'fulltim', 'work', 'visa', 'pleas', 'scroll', 'appli', 'la', 'trobe', 'univers', 'equal', 'opportun', 'employ', 'la', 'trobe', 'univers', 'employe', 'bound', 'work', 'children', 'act', 'success', 'requir', 'hold', 'valid', 'victorian', 'employe', 'work', 'children', 'check', 'prior', 'commenc', 'enquiri', 'appli', 'role', 'pleas', 'contact', 'recruit', 'advisor', 'lloyd', 'hall', 'tower', 'appli', 'view', 'posit', 'descript', 'pleas', 'visit', 'httpwwwlatrobeeduaujob', 'la', 'trobe', 'la', 'trobe', 'univers', 'success', 'driven', 'peopl', 'commit', 'make', 'differ', 'creativ', 'highli', 'motiv', 'pursu', 'new', 'idea', 'creat', 'knowledg', 'la', 'trobe', 'one', 'australia', 'research', 'leader', 'largest', 'provid', 'higher', 'educ', 'region', 'victoria', 'la', 'trobe', 'univers', 'turn', 'half', 'centuri', 'exist', 'establish', 'reput', 'innov', 'access', 'univers', 'will', 'take', 'risk', 'take', 'challeng', 'teach', 'research', 'address', 'signific', 'issu', 'time', 'passion', 'drive', 'chang', 'oper', 'excel', 'benefit', 'commun', 'serv']",1,0,0,0,0,0,0,0,1,1,0,2,3.0,6
1024,12.0,1,"['client', 'look', 'strong', 'individu', 'actuari', 'background', 'interest', 'data', 'scienc', 'join', 'grow', 'team', 'ksup']",2,"(110000.0, 150000.0)",0,"['actuari', 'data', 'scientist', 'client', 'wellknown', 'rapidli', 'expand', 'leader', 'market', 'base', 'northwest', 'sydney', 'cbd', 'due', 'continu', 'expans', 'look', 'add', 'strong', 'actuari', 'data', 'scientist', 'focu', 'gener', 'insur', 'life', 'insur', 'price', 'well', 'commerci', 'data', 'analyt', 'data', 'scienc', 'respons', 'join', 'teamthi', 'perman', 'opportun', 'pay', 'anywher', 'ksuper', 'ksuper', 'depend', 'experienceabout', 'role', 'actuari', 'data', 'scientist', 'focus', 'actuari', 'price', 'gener', 'life', 'insur', 'product', 'heavili', 'involv', 'statist', 'model', 'machin', 'learn', 'techniqu', 'work', 'impact', 'often', 'involv', 'present', 'ceo', 'put', 'togeth', 'result', 'report', 'go', 'direct', 'board', 'role', 'also', 'involv', 'projectbas', 'data', 'analyt', 'data', 'scienc', 'work', 'across', 'commerci', 'arm', 'busi', 'heavili', 'involv', 'machin', 'learn', 'model', 'techniqu', 'busi', 'extrem', 'advanc', 'space', 'youif', 'complet', 'minimum', 'part', 'ii', 'actuari', 'qualif', 'pleas', 'appli', 'applic', 'consideredif', 'previou', 'price', 'experi', 'part', 'iii', 'actuari', 'qualif', 'must', 'complet', 'howev', 'previou', 'price', 'experi', 'commerci', 'environ', 'part', 'ii', 'requir', 'statist', 'model', 'experi', 'essenti', 'machin', 'learn', 'glm', 'experi', 'ideal', 'essenti', 'experi', 'work', 'within', 'consult', 'startup', 'environ', 'highli', 'advantag', 'fastpac', 'posit', 'previou', 'experi', 'strong', 'interest', 'work', 'data', 'analyt', 'data', 'scienc', 'focus', 'posit', 'requir', 'insur', 'experi', 'ideal', 'need', 'experi', 'vari', 'data', 'set', 'import', 'posit', 'strong', 'sql', 'skill', 'must', 'r', 'python', 'experi', 'ideal', 'necessari', 'fantast', 'role', 'someon', 'previou', 'actuari', 'experi', 'look', 'progress', 'develop', 'appli', 'data', 'scienc', 'machin', 'learn', 'skillset', 'interest', 'get', 'involv', 'overal', 'busi', 'oper', 'commerci', 'point', 'view', 'want', 'role', 'influenc', 'busi', 'decis', 'made', 'execut', 'levelthi', 'role', 'suitabl', 'someon', 'wish', 'progress', 'head', 'price', 'appoint', 'actuari', 'posit', 'your', 'keen', 'join', 'busi', 'realli', 'cool', 'stuff', 'data', 'use', 'data', 'scienc', 'machin', 'learn', 'want', 'advanc', 'abil', 'rang', 'new', 'technolog', 'whilst', 'still', 'maintain', 'actuari', 'skill', 'may', 'role', 'youif', 'interest', 'role', 'would', 'like', 'hear', 'make', 'sure', 'appli', 'nowfor', 'extra', 'inform', 'pleas', 'contact', 'matthew', 'cook', 'via', 'datathedrivegroupcomau', 'follow', 'us', 'linkedinhttpswwwlinkedincomcompanythedrivegroup', 'latest', 'tech', 'news', 'new', 'job', 'introduc', 'friend', 'referr', 'fee']",1,1,1,0,0,0,0,0,0,0,1,2,12.0,1
1049,2.0,6,"['talent', 'data', 'scientist', 'requir', 'work', 'new', 'product', 'platform', 'major', 'finaci', 'servic', 'firm', 'think', 'disrupt']",2,"(130000.0, 160000.0)",0,[],1,0,1,0,0,0,0,0,0,0,1,2,2.0,6
1057,0.0,1,"['part', 'highli', 'talent', 'team', 'engin', 'work', 'hightraff', 'customerfac', 'websit', 'back', 'end', 'aw', 'infrastructur', 'system']",2,"(150000.0, 180000.0)",0,"['sr', 'data', 'scientist', 'digit', 'bank', 'product', 'live', 'k', 'sup', 'bonu', 'sr', 'data', 'scientist', 'role', 'work', 'directli', 'cio', 'focus', 'utilis', 'mldl', 'productionis', 'mobil', 'app', 'use', 'stakehold', 'manag', 'skill', 'liais', 'intern', 'analyt', 'infrastructur', 'provid', 'stay', 'abreast', 'tech', 'roadmap', 'help', 'pilot', 'new', 'analyt', 'engag', 'ideal', 'experi', 'succeed', 'role', 'need', 'statist', 'background', 'ie', 'r', 'python', 'sa', 'spss', 'understand', 'proactiv', 'immers', 'analyt', 'roadmap', 'analys', 'custom', 'transact', 'extern', 'data', 'develop', 'relev', 'model', 'data', 'driven', 'insight', 'jira', 'confluenc', 'experi', 'bank', 'productsfunct', 'credit', 'loan', 'deposit', 'withdraw', 'bonu', 'greenfield', 'experi', 'aw', 'compani', 'neo', 'bank', 'take', 'bank', 'system', 'youd', 'get', 'within', 'tradit', 'institut', 'take', 'entir', 'digit', 'without', 'old', 'fashion', 'infrastructur', 'theyv', 'abl', 'give', 'consum', 'much', 'better', 'rate', 'retail', 'product', 'digit', 'data', 'driven', 'focu', 'ai', 'assist', 'financi', 'advisori', 'highli', 'innov', 'customerfirst', 'approach', 'forefront', 'industri', 'equip', 'extrem', 'talent', 'team', 'wellknown', 'industri', 'leader', 'drive', 'customerfocus', 'product', 'success', 'theyr', 'rapidli', 'scale', 'current', 'build', 'data', 'team', 'drive', 'custom', 'driven', 'statist', 'analyt', 'cameron', 'william']",1,0,1,0,1,0,0,0,0,0,1,2,0.0,1
1058,0.0,1,"['creat', 'meaning', 'marketfirst', 'insight', 'bank', 'custom', 'cut', 'edg', 'technolog', 'environ', 'bank', 'forefront', 'digit', 'tech']",2,"(130000.0, 140000.0)",0,"['data', 'scientist', 'k', 'super', 'bonu', 'lead', 'market', 'insight', 'deliv', 'custom', 'via', 'cut', 'edg', 'digit', 'tech', 'market', 'lead', 'digit', 'bank', 'environ', 'compani', 'client', 'australian', 'digit', 'bank', 'lead', 'way', 'new', 'marketplac', 'aim', 'provid', 'cut', 'edg', 'solut', 'custom', 'via', 'custom', 'centric', 'technolog', 'solut', 'current', 'focu', 'provid', 'valuabl', 'tailor', 'insight', 'custom', 'relat', 'aspect', 'financi', 'life', 'role', 'within', 'role', 'work', 'micro', 'macro', 'level', 'look', 'bank', 'bring', 'better', 'insight', 'custom', 'help', 'develop', 'high', 'level', 'strategi', 'conjunct', 'team', 'within', 'compani', 'build', 'specif', 'data', 'driven', 'solut', 'roll', 'custom', 'via', 'bank', 'app', 'solut', 'utilis', 'statist', 'tool', 'well', 'ai', 'machin', 'learn', 'techniqu', 'draw', 'data', 'variou', 'transact', 'sourc', 'creat', 'model', 'provid', 'insight', 'work', 'strateg', 'level', 'assess', 'analyt', 'tool', 'techniqu', 'identifi', 'new', 'opportun', 'bank', 'provid', 'ever', 'better', 'insight', 'custom', 'skill', 'need', 'bring', 'role', 'follow', 'experi', 'year', 'statist', 'base', 'role', 'analys', 'larg', 'complex', 'data', 'set', 'strong', 'knowledg', 'statist', 'model', 'techniqu', 'good', 'skill', 'least', 'one', 'major', 'statist', 'packag', 'sa', 'spss', 'strong', 'background', 'retail', 'bank', 'technolog', 'ideal', 'strong', 'focu', 'digit', 'good', 'knowledg', 'ai', 'machin', 'learn', 'techniqu', 'relat', 'build', 'analyt', 'insight', 'strong', 'skill', 'jira', 'confluenc', 'abil', 'work', 'strateg', 'level', 'well', 'coal', 'face', 'deliv', 'solut', 'opportun', 'opportun', 'part', 'bank', 'chang', 'way', 'australian', 'see', 'bank', 'solut', 'bring', 'real', 'benefit', 'australian', 'lead', 'way', 'bank', 'custom', 'expect', 'data', 'get', 'opportun', 'work', 'best', 'market', 'get', 'hand', 'cut', 'edg', 'tech', 'detail', 'pleas', 'click', 'appli', 'litrc']",0,0,0,0,1,0,0,0,0,0,1,2,0.0,1
1062,2.0,1,"['amaz', 'opportun', 'senior', 'analyt', 'consult', 'predict', 'model', 'experi', 'join', 'grow', 'product', 'analyt', 'strategi', 'team']",1,"(800.0, 900.0)",0,[],1,1,1,0,0,0,0,0,0,0,1,1,2.0,1
1064,2.0,7,"['help', 'us', 'develop', 'curtin', 'univers', 'perth', 'campu', 'citi', 'innov']",2,"(89137.0, 95790.0)",1,[],1,0,1,0,0,1,0,0,0,0,0,2,2.0,7
1065,3.0,7,"['help', 'us', 'develop', 'curtin', 'univers', 'perth', 'campu', 'citi', 'innov']",2,"(89137.0, 95790.0)",1,[],1,0,1,0,0,1,0,0,0,0,0,2,3.0,7
1073,0.0,1,"['rare', 'opportun', 'enterpris', 'product', 'build', 'emerg', 'datadriven', 'domain']",1,"(850.0, 950.0)",0,"['data', 'engin', 'product', 'build', 'per', 'day', 'talenza', 'engag', 'industrylead', 'asx', 'organ', 'search', 'enthusiast', 'motiv', 'data', 'scientist', 'role', 'work', 'newli', 'form', 'team', 'build', 'technolog', 'platform', 'enabl', 'rapid', 'gener', 'simul', 'analysi', 'project', 'excit', 'time', 'join', 'busi', 'given', 'freedom', 'flexibl', 'creativ', 'voic', 'opinion', 'busi', 'need', 'somebodi', 'histori', 'work', 'complex', 'challeng', 'creat', 'implement', 'innov', 'solut', 'need', 'somebodi', 'right', 'attitud', 'collabor', 'technic', 'team', 'member', 'key', 'stakehold', 'well', 'strong', 'technic', 'skill', 'ideal', 'candid', 'passion', 'analyt', 'shop', 'list', 'strong', 'experi', 'ambigu', 'technolog', 'environ', 'strong', 'experi', 'build', 'data', 'pipelin', 'cloud', 'strong', 'sql', 'python', 'code', 'experi', 'provid', 'solut', 'design', 'data', 'visualis', 'skill', 'strong', 'written', 'verbal', 'commun', 'skill', 'strong', 'stakehold', 'manag', 'skill', 'passion', 'analyt', 'experi', 'build', 'technolog', 'productsplatform', 'highli', 'desir', 'inform', 'pleas', 'appli', 'updat', 'cv', 'contact', 'wwwtalenzacomau']",1,1,0,0,0,0,0,0,0,0,1,1,0.0,1
1074,0.0,1,"['client', 'intern', 'food', 'beverag', 'compani', 'seek', 'experienc', 'data', 'scientist', 'work', 'collabor', 'dynam', 'role']",2,"(75000.0, 100000.0)",0,"['data', 'scientist', 'client', 'excit', 'seek', 'experienc', 'data', 'scientist', 'join', 'grow', 'global', 'data', 'analyt', 'team', 'respons', 'maximis', 'return', 'multipl', 'sourc', 'data', 'use', 'advanc', 'tool', 'develop', 'inform', 'analyt', 'strong', 'action', 'visualis', 'dataduti', 'respons', 'provid', 'visualis', 'report', 'use', 'advanc', 'data', 'analyt', 'toolsbuild', 'variou', 'predict', 'model', 'experi', 'languag', 'r', 'python', 'base', 'vari', 'data', 'structur', 'sqldeploy', 'model', 'techniqu', 'collect', 'analys', 'interpret', 'datacr', 'deploy', 'code', 'queri', 'rpython', 'run', 'automaticallywork', 'alongsid', 'busi', 'unit', 'develop', 'data', 'handl', 'capabilitiesreview', 'insight', 'statist', 'model', 'use', 'strateg', 'decisionmakingskillsrequirementsrelev', 'commerci', 'analyticsdata', 'scienc', 'experi', 'confid', 'commun', 'high', 'level', 'verbal', 'written', 'commun', 'skillsexperi', 'analys', 'larg', 'multidimension', 'data', 'set', 'varieti', 'toolsgood', 'knowledg', 'use', 'statist', 'analysi', 'tool', 'r', 'sasexperi', 'relat', 'databas', 'sqlgood', 'understand', 'experi', 'work', 'structur', 'unstructur', 'dataexperi', 'andor', 'knowledg', 'pythonrvisualis', 'experi', 'variou', 'platform', 'tableau', 'big', 'plu', 'pleas', 'click', 'appli', 'submit', 'interest', 'excit', 'opportun', 'wwwxmtechnologycomau']",1,1,1,1,1,0,0,0,0,0,1,2,0.0,1
1084,0.0,6,"['melbourn', 'cbd', 'data', 'scientist', 'senior', 'product', 'base', 'compani', 'iot']",2,"(80000.0, 130000.0)",1,"['data', 'scientist', 'melbourn', 'melbourn', 'cbd', 'data', 'scientist', 'senior', 'product', 'base', 'compani', 'iotwer', 'current', 'look', 'midsenior', 'level', 'data', 'scientist', 'join', 'startup', 'client', 'iot', 'machin', 'learn', 'project', 'role', 'theyr', 'someon', 'experi', 'python', 'go', 'cloud', 'comput', 'aw', 'azur', 'stakehold', 'manag', 'machin', 'learn', 'role', 'particular', 'theyr', 'interest', 'hear', 'project', 'youv', 'work', 'help', 'compani', 'grow', 'data', 'scienc', 'interest', 'pleas', 'drop', 'short', 'paragraph', 'project', 'youv', 'work', 'well', 'resum', 'sunkangdaxtraopusrscomau', 'sun', 'kang', 'sunkangdaxtraopusrscomau']",1,0,0,0,0,0,0,0,0,0,1,2,0.0,6
1085,0.0,1,"['creat', 'meaning', 'marketfirst', 'insight', 'bank', 'custom', 'cut', 'edg', 'technolog', 'environ', 'bank', 'forefront', 'digit', 'tech']",2,"(130000.0, 140000.0)",0,"['data', 'scientist', 'k', 'super', 'bonu', 'lead', 'market', 'insight', 'deliv', 'custom', 'via', 'cut', 'edg', 'digit', 'tech', 'market', 'lead', 'digit', 'bank', 'environ', 'compani', 'client', 'australian', 'digit', 'bank', 'lead', 'way', 'new', 'marketplac', 'aim', 'provid', 'cut', 'edg', 'solut', 'custom', 'via', 'custom', 'centric', 'technolog', 'solut', 'current', 'focu', 'provid', 'valuabl', 'tailor', 'insight', 'custom', 'relat', 'aspect', 'financi', 'life', 'role', 'within', 'role', 'work', 'micro', 'macro', 'level', 'look', 'bank', 'bring', 'better', 'insight', 'custom', 'help', 'develop', 'high', 'level', 'strategi', 'conjunct', 'team', 'within', 'compani', 'build', 'specif', 'data', 'driven', 'solut', 'roll', 'custom', 'via', 'bank', 'app', 'solut', 'utilis', 'statist', 'tool', 'well', 'ai', 'machin', 'learn', 'techniqu', 'draw', 'data', 'variou', 'transact', 'sourc', 'creat', 'model', 'provid', 'insight', 'work', 'strateg', 'level', 'assess', 'analyt', 'tool', 'techniqu', 'identifi', 'new', 'opportun', 'bank', 'provid', 'ever', 'better', 'insight', 'custom', 'skill', 'need', 'bring', 'role', 'follow', 'experi', 'year', 'statist', 'base', 'role', 'analys', 'larg', 'complex', 'data', 'set', 'strong', 'knowledg', 'statist', 'model', 'techniqu', 'good', 'skill', 'least', 'one', 'major', 'statist', 'packag', 'sa', 'spss', 'strong', 'background', 'retail', 'bank', 'technolog', 'ideal', 'strong', 'focu', 'digit', 'good', 'knowledg', 'ai', 'machin', 'learn', 'techniqu', 'relat', 'build', 'analyt', 'insight', 'strong', 'skill', 'jira', 'confluenc', 'abil', 'work', 'strateg', 'level', 'well', 'coal', 'face', 'deliv', 'solut', 'opportun', 'opportun', 'part', 'bank', 'chang', 'way', 'australian', 'see', 'bank', 'solut', 'bring', 'real', 'benefit', 'australian', 'lead', 'way', 'bank', 'custom', 'expect', 'data', 'get', 'opportun', 'work', 'best', 'market', 'get', 'hand', 'cut', 'edg', 'tech', 'detail', 'pleas', 'click', 'appli', 'litrc']",0,0,0,0,1,0,0,0,0,0,1,2,0.0,1
1090,2.0,6,"['opportun', 'form', 'part', 'awesom', 'team', 'play', 'crucial', 'role', 'transform', 'data', 'analyt', 'landscap']",2,"(135000.0, 150000.0)",0,"['data', 'scienc', 'consult', 'data', 'scientist', 'collabor', 'busi', 'stakehold', 'discoveri', 'activ', 'deliv', 'advanc', 'analyt', 'insight', 'improv', 'custom', 'experi', 'add', 'sharehold', 'valu', 'work', 'within', 'cross', 'function', 'experi', 'team', 'conduct', 'experi', 'use', 'advanc', 'analyt', 'machin', 'learn', 'techniqu', 'discov', 'action', 'insight', 'provid', 'insight', 'appli', 'rigor', 'data', 'scienc', 'methodolog', 'develop', 'statist', 'mathemat', 'model', 'also', 'chanc', 'involv', 'excit', 'advanc', 'artifici', 'intellig', 'machin', 'learn', 'innovationwhat', 'youll', 'doingdevelop', 'test', 'implement', 'statist', 'mathemat', 'model', 'use', 'varieti', 'rigor', 'techniqu', 'across', 'multipl', 'busi', 'line', 'support', 'test', 'develop', 'machin', 'learn', 'artifici', 'intellig', 'capabl', 'across', 'enterpris', 'support', 'wider', 'data', 'scienc', 'commun', 'includ', 'segment', 'framework', 'lifecycl', 'event', 'trigger', 'predict', 'model', 'advanc', 'analyt', 'present', 'insight', 'learn', 'clear', 'way', 'execut', 'support', 'team', 'deliv', 'strateg', 'agenda', 'bring', 'post', 'graduat', 'degre', 'statist', 'mathemat', 'comput', 'scienc', 'similar', 'industri', 'experi', 'background', 'statist', 'analysi', 'model', 'techniqu', 'larg', 'data', 'set', 'proven', 'capabl', 'construct', 'valid', 'implement', 'model', 'your', 'comfort', 'develop', 'code', 'perform', 'analysi', 'use', 'common', 'tool', 'r', 'python', 'abil', 'build', 'appropri', 'model', 'scratch', 'justifi', 'method', 'scienc', 'use', 'abil', 'explain', 'simpli', 'complex', 'model', 'work', 'use', 'real', 'world', 'achiev', 'desir', 'busi', 'outcom', 'open', 'new', 'way', 'think', 'work', 'requir', 'expertis', 'follow', 'disciplinespredict', 'model', 'featur', 'engin', 'text', 'mine', 'sentiment', 'analyt', 'machin', 'learn', 'requir', 'technic', 'skillshadoop', 'mapreduc', 'hive', 'pig', 'spark', 'r', 'python', 'strong', 'sql', 'skill', 'desir', 'skill', 'experiencemicro', 'servic', 'develop', 'api', 'develop', 'visualis', 'product', 'nosql', 'technolog', 'incl', 'hbase', 'appli', 'great', 'opportun', 'join', 'award', 'win', 'compani', 'goe', 'strength', 'strength', 'believ', 'role', 'pleas', 'appli', 'send', 'cv', 'via', 'big', 'button', 'contact', 'geraint', 'confidenti', 'discuss', 'geraintcooperxpandcomau', 'geraint', 'cooper', 'wwwwelovesaltcom', 'wwwxpandcomau']",1,1,1,0,0,0,1,1,0,0,1,2,2.0,6
1094,0.0,6,"['appli', 'statist', 'machin', 'learn', 'expertis', 'support', 'businesswid', 'data', 'scienc', 'function', 'tier', 'australian', 'bank']",2,"(110000.0, 130000.0)",1,"['data', 'scientist', 'appli', 'statist', 'machin', 'learn', 'expertis', 'support', 'bankwid', 'data', 'scienc', 'function', 'includ', 'segment', 'framework', 'predict', 'model', 'advanc', 'analyt', 'part', 'highli', 'technic', 'team', 'data', 'specialist', 'involv', 'excit', 'project', 'includ', 'geospati', 'analysi', 'test', 'develop', 'machin', 'learn', 'artifici', 'intellig', 'capabl', 'advanc', 'analyt', 'experi', 'youll', 'respons', 'perform', 'geospati', 'analysi', 'identifi', 'optim', 'locat', 'bank', 'branch', 'develop', 'test', 'implement', 'statist', 'mathemat', 'model', 'across', 'multipl', 'busi', 'line', 'support', 'test', 'develop', 'machin', 'learn', 'artifici', 'intellig', 'capabl', 'understand', 'bank', 'network', 'support', 'bankwid', 'segment', 'framework', 'lifecycl', 'event', 'trigger', 'predict', 'model', 'advanc', 'analyt', 'present', 'insight', 'uplift', 'capabl', 'execut', 'analyst', 'busi', 'youll', 'need', 'postgradu', 'degre', 'statist', 'mathemat', 'comput', 'scienc', 'similar', 'industri', 'experi', 'strong', 'background', 'statist', 'analysi', 'proven', 'capabl', 'construct', 'valid', 'implement', 'model', 'techniqu', 'larg', 'data', 'set', 'experi', 'use', 'rpython', 'develop', 'code', 'perform', 'analys', 'abil', 'build', 'appropri', 'model', 'scratch', 'justifi', 'method', 'scienc', 'use', 'abil', 'explain', 'complex', 'model', 'everyday', 'languag', 'appli', 'achiev', 'desir', 'busi', 'outcom', 'experi', 'aw', 'infrastructur', 'tool', 'appli', 'pleas', 'click', 'appli', 'call', 'melissa', 'chin', 'confidenti', 'discuss', 'wwwrobertwalterscomau', 'find', 'place', 'us']",1,0,1,0,0,0,0,0,0,0,1,2,0.0,6
1098,2.0,1,"['look', 'motiv', 'passion', 'data', 'scientist', 'join', 'multidisciplinari', 'team']",2,"(100000.0, 130000.0)",0,[],1,0,0,0,0,0,0,0,0,0,0,2,2.0,1
1100,2.0,6,"['seek', 'softwar', 'engin', 'data', 'scientist', 'excel', 'softwar', 'engin', 'abil']",2,"(97237.0, 109528.0)",0,[],1,0,0,0,0,0,0,0,0,0,0,2,2.0,6
1101,2.0,6,"['seek', 'scientist', 'data', 'comput', 'scienc', 'background', 'physic', 'scienc', 'focu', 'key', 'member', 'team']",2,"(97237.0, 109528.0)",0,[],1,0,0,0,0,0,0,0,0,0,0,2,2.0,6
1102,0.0,6,"['perman', 'opportun', 'financi', 'servic', 'melbourn', 'cbd']",2,"(120000.0, 135000.0)",0,"['data', 'scientist', 'person', 'develop', 'opportun', 'perman', 'role', 'melbourn', 'cbd', 'perman', 'opportun', 'financi', 'servic', 'melbourn', 'cbdyour', 'new', 'compani', 'wellknown', 'financi', 'servic', 'organis', 'seek', 'experienc', 'data', 'analystdata', 'scientist', 'play', 'key', 'role', 'deliv', 'strateg', 'action', 'insight', 'deeper', 'datadriven', 'decisionsyour', 'new', 'role', 'join', 'analyt', 'insight', 'team', 'respons', 'develop', 'leverag', 'sophist', 'analyt', 'techniqu', 'tool', 'model', 'understand', 'optimis', 'custom', 'interact', 'channelloc', 'footprint', 'team', 'deliv', 'strateg', 'action', 'insight', 'support', 'decis', 'align', 'transform', 'agenda', 'work', 'within', 'cross', 'function', 'team', 'conduct', 'experi', 'use', 'advanc', 'analyt', 'machin', 'learn', 'techniqu', 'discov', 'action', 'insight', 'build', 'new', 'analyt', 'capabl', 'custom', 'busi', 'key', 'activ', 'includ', 'develop', 'test', 'implement', 'statist', 'mathemat', 'model', 'use', 'varieti', 'rigor', 'techniqu', 'across', 'multipl', 'busi', 'line', 'support', 'test', 'develop', 'machin', 'learn', 'artifici', 'intellig', 'capabl', 'understand', 'network', 'support', 'bankwid', 'data', 'scienc', 'includ', 'segment', 'framework', 'lifecycl', 'event', 'trigger', 'predict', 'model', 'advanc', 'analyt', 'present', 'insight', 'learn', 'clear', 'way', 'execut', 'youll', 'need', 'succeed', 'success', 'requir', 'follow', 'skill', 'experi', 'background', 'statist', 'analysi', 'model', 'techniqu', 'larg', 'data', 'set', 'proven', 'capabl', 'construct', 'valid', 'implement', 'model', 'your', 'comfort', 'develop', 'code', 'perform', 'analysi', 'use', 'common', 'tool', 'r', 'python', 'aw', 'infrastructur', 'tool', 'eg', 'ec', 'redshift', 'data', 'manipul', 'extract', 'statist', 'regress', 'classif', 'machin', 'learn', 'post', 'graduat', 'degre', 'statist', 'mathemat', 'comput', 'scienc', 'similar', 'industri', 'experi', 'need', 'your', 'interest', 'role', 'click', 'appli', 'forward', 'uptod', 'copi', 'cv', 'contact', 'reec', 'curti', 'reececurtishayscomau', 'mailtoreececurtishayscomau', 'question', 'queri', 'refer', 'number', 'appli', 'pleas', 'click', 'appli', 'button']",1,0,1,0,0,0,0,0,0,0,1,2,0.0,6
